"Metric","Stability_max_k","Stability_max_k_stab","Stability_max_k_qual","Quality_max_k","Quality_max_k_stab","Quality_max_k_qual","Global_optimal_k","Discriminatory_index"
"ANOnto","3",0.986666666666667,0.750367087269911,"4",0.790968271924154,0.755031332102475,"4",0.69408704996292
"APWND","2",1,0.895653608847499,"2",1,0.895653608847499,"2",0.947826804423749
"APWNN","2",1,0.780855028345652,"3",0.957607765328354,0.82599471624721,"3",0.874293359863436
"AROnto","2",0.986363636363636,0.857827598230246,"2",0.986363636363636,0.857827598230246,"2",0.916246792763553
"CBOOnto","4",0.819771151084038,0.712548689491013,"2",0.803232863754603,0.908756471158666,"2",0.766587963269453
"CROnto","2",0.922145604395604,0.937449017520644,"2",0.922145604395604,0.937449017520644,"2",0.893305047623622
"CWND","2",0.995559210526316,0.835092204149296,"2",0.995559210526316,0.835092204149296,"2",0.913471473002935
"CWNN","2",1,0.916334408296251,"2",1,0.916334408296251,"2",0.958167204148126
"CWNS","3",0.910404456654457,0.764369161584073,"5",0.768716997055232,0.779540016000307,"5",0.683981328619688
"DITOnto","4",0.809007034632035,0.601203174630118,"3",0.768972917061152,0.624229193492496,"3",0.624494130447903
"DxC","2",0.906300602175602,0.657242756831429,"4",0.796277802059052,0.737188372271173,"4",0.691642269417316
"DxP","2",0.988776327838828,0.748325149889111,"2",0.988776327838828,0.748325149889111,"2",0.864351260787812
"INROnto","3",0.951190476190476,0.722707108091076,"2",0.801677243760263,0.730332040551232,"2",0.693583910529592
"LCOMOnto","2",0.905798788629671,0.623195346203232,"3",0.847767903392903,0.643175804767027,"3",0.696515853456644
"LRClassPCT","4",0.884339826839827,0.870531889182507,"2",0.833327991452991,0.908334521591616,"2",0.795134286949173
"LRsxC","2",1,0.905518538116518,"2",1,0.905518538116518,"2",0.952759269058259
"NACOnto","2",0.898429606625259,0.791285009011908,"2",0.898429606625259,0.791285009011908,"2",0.804671743000146
"NLR","2",0.880098362550762,0.703201499086075,"5",0.792077838827839,0.774230581796371,"5",0.702664362405764
"NLRC","2",0.91506038647343,0.799186257288279,"2",0.91506038647343,0.799186257288279,"2",0.823182035965948
"NOCOnto","2",0.912001811594203,0.910786660035129,"2",0.912001811594203,0.910786660035129,"2",0.871320447761037
"NOMOnto","2",0.922009240759241,0.974154159939379,"2",0.922009240759241,0.974154159939379,"2",0.910094189073702
"NxC","3",0.860176747038875,0.828310776051952,"2",0.565701895527982,0.848630371289272,"3",0.522886852584469
"NxP","4",0.941377164502164,0.696356732180158,"4",0.941377164502164,0.696356732180158,"4",0.798455745261957
"POnto","2",0.989320728291317,0.757736524517487,"2",0.989320728291317,0.757736524517487,"2",0.869482589289944
"PROnto","2",1,0.691014902587686,"2",1,0.691014902587686,"2",0.845507451293843
"RFCOnto","2",0.922009240759241,0.974150494334821,"2",0.922009240759241,0.974150494334821,"2",0.910092499213064
"RROnto","2",1,0.691014903070416,"2",1,0.691014903070416,"2",0.845507451535208
"SxC","3",0.964980158730159,0.820608077348352,"3",0.964980158730159,0.820608077348352,"3",0.878425335732511
"SxP","2",0.984393939393939,0.903976476708763,"4",0.867217403067946,0.91368727936853,"4",0.82979145634907
"TMOnto","2",0.956943346508564,0.818433570173496,"2",0.956943346508564,0.818433570173496,"2",0.870068953022671
"TMOnto2","2",1,0.957689574531637,"2",1,0.957689574531637,"2",0.978844787265818
"WMCOnto","4",0.897554446005491,0.623215617188603,"2",0.75569717058304,0.770293800999867,"2",0.668903008258147
"WMCOnto2","3",0.882496470920384,0.844250268166815,"2",0.742708913469783,0.845014852609432,"3",0.685154488258581
